speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
grhowl,Great Horned Owl,Bubo virginianus,L20969355,Our house,2023-01-03 23:52,1.0,36.800016,-98.673345,True,False,True,S125366738,
easowl1,Eastern Screech-Owl,Megascops asio,L2739621,GRC etc and pond,2023-01-03 23:38,1.0,41.8291711,-77.2183728,True,False,True,S125438072,
sheowl,Short-eared Owl,Asio flammeus,L22061829,"Kansas Turnpike N, South Haven US-KS 37.11846, -97.33867",2023-01-03 23:25,1.0,37.118456,-97.338673,True,False,True,S125366157,
cangoo,Canada Goose,Branta canadensis,L11616840,Bensenville Yard,2023-01-03 23:22,1.0,41.9472682,-87.936234,True,False,True,S125432632,
bcnher,Black-crowned Night-Heron,Nycticorax nycticorax,L22061364,"John Ringling Blvd, Sarasota US-FL (27.3245,-82.5659)",2023-01-03 23:04,4.0,27.324466,-82.565905,True,False,True,S125364241,
empgoo,Emperor Goose,Anser canagicus,L270792,Shemya Island--Eareckson AS (restricted access),2023-01-03 23:00,70.0,52.7207244,174.1123276,True,False,False,S126180055,
mallar3,Mallard,Anas platyrhynchos,L270792,Shemya Island--Eareckson AS (restricted access),2023-01-03 23:00,25.0,52.7207244,174.1123276,True,False,False,S126180055,
gresca,Greater Scaup,Aythya marila,L270792,Shemya Island--Eareckson AS (restricted access),2023-01-03 23:00,1.0,52.7207244,174.1123276,True,False,False,S126180055,
comeid,Common Eider,Somateria mollissima,L270792,Shemya Island--Eareckson AS (restricted access),2023-01-03 23:00,18.0,52.7207244,174.1123276,True,False,False,S126180055,
harduc,Harlequin Duck,Histrionicus histrionicus,L270792,Shemya Island--Eareckson AS (restricted access),2023-01-03 23:00,20.0,52.7207244,174.1123276,True,False,False,S126180055,
rebmer,Red-breasted Merganser,Mergus serrator,L270792,Shemya Island--Eareckson AS (restricted access),2023-01-03 23:00,2.0,52.7207244,174.1123276,True,False,False,S126180055,
refcor,Red-faced Cormorant,Urile urile,L270792,Shemya Island--Eareckson AS (restricted access),2023-01-03 23:00,2.0,52.7207244,174.1123276,True,False,False,S126180055,
pelcor,Pelagic Cormorant,Urile pelagicus,L270792,Shemya Island--Eareckson AS (restricted access),2023-01-03 23:00,5.0,52.7207244,174.1123276,True,False,False,S126180055,
turvul,Turkey Vulture,Cathartes aura,L20933966,Green Valley Rd,2023-01-03 23:00,5.0,38.382602,-82.376411,True,False,True,S125440596,
coohaw,Cooper's Hawk,Accipiter cooperii,L20933966,Green Valley Rd,2023-01-03 23:00,1.0,38.382602,-82.376411,True,False,True,S125440596,
